title,type,release_date
Love Comes,Single,2017-04-21
건반 위의 하이에나 Part.4,Single,2018-04-21
TWIT,Single,2019-02-13
[Vol.8] 유희열의 스케치북 10주년 프로젝트 : 네 번째 목소리 '유스케 X 화사',Single,2019-03-09
[Vol.9] 유희열의 스케치북 10주년 프로젝트 : 네 번째 목소리 '유스케 X 화사',Single,2019-03-16
[Vol.10] 유희열의 스케치북 10주년 프로젝트: 네 번째 목소리 ‘유스케 X 화사',Single,2019-03-23
Hwa:telier,Single,2019-10-11
María,EP,2020-06-29
Play With Life,Single,2021-01-29
I can’t make you love me,Single,2021-08-03
Guilty Pleasure,Single,2021-11-24
Somebody,Single,2022-07-25
[HWASA SHOW vol.1] 화사한 밤,Single,2022-12-08
[HWASA SHOW vol.2] Grey Christmas,Single,2022-12-20
I Love My Body,Single,2023-09-06
Chili,Single,2023-10-04
O,EP,2024-09-19
Star,Single,2024-11-14
Good Goodbye,Single,2025-10-15
So Cute,Single,2026-04-09
